24 	9.1525e-07 	8.89403e-07 	7.27e-07 	9.487e-06 	
32 	1.29436e-06 	9.10575e-07 	1.104e-06 	1.0039e-05 	
48 	2.71131e-06 	1.43378e-06 	2.396e-06 	1.3847e-05 	
64 	5.23793e-06 	9.33907e-07 	4.993e-06 	1.4409e-05 	
96 	1.0728e-05 	9.29874e-07 	1.0503e-05 	1.9603e-05 	
128 	2.05091e-05 	3.15285e-06 	2.0034e-05 	5.104e-05 	
192 	4.62034e-05 	4.51066e-06 	4.5562e-05 	9.0721e-05 	
256 	9.36764e-05 	1.97324e-05 	8.202e-05 	0.000157554 	
384 	0.00019523 	2.07124e-05 	0.000187122 	0.000356398 	
512 	0.000376817 	5.25749e-05 	0.000341671 	0.00056592 	
768 	0.000883478 	8.76835e-05 	0.00083185 	0.00122488 	
1024 	0.00160035 	0.000180318 	0.00149481 	0.00280399 	
1536 	0.00347316 	0.000343138 	0.00336367 	0.00639977 	
2048 	0.00610519 	0.000490137 	0.00593655 	0.00897467 	
3072 	0.0144693 	0.00115681 	0.0141917 	0.0256144 	
4096 	0.025359 	0.00179225 	0.0249548 	0.0427864 	
