24 	1.0383e-06 	8.74167e-07 	6.89e-07 	9.611e-06 	
32 	1.34463e-06 	9.37176e-07 	1.108e-06 	1.027e-05 	
48 	2.58334e-06 	1.05037e-06 	2.356e-06 	1.2202e-05 	
64 	4.42407e-06 	1.21185e-06 	4.168e-06 	1.5384e-05 	
96 	9.5497e-06 	1.44764e-06 	9.312e-06 	2.2594e-05 	
128 	1.67981e-05 	1.53162e-06 	1.6522e-05 	2.9946e-05 	
192 	3.83168e-05 	5.99033e-06 	3.7318e-05 	9.4254e-05 	
256 	6.91929e-05 	4.60788e-06 	6.5672e-05 	9.152e-05 	
384 	0.000163358 	2.58259e-05 	0.000148456 	0.000248011 	
512 	0.000279149 	2.90329e-05 	0.000263498 	0.000415341 	
768 	0.000726068 	0.000104226 	0.000640488 	0.000968584 	
1024 	0.00115723 	8.70942e-05 	0.00110112 	0.00156088 	
1536 	0.00263504 	0.00016445 	0.00249701 	0.00349843 	
2048 	0.00460046 	0.000350679 	0.00446309 	0.00620214 	
3072 	0.0112831 	0.00136564 	0.0103516 	0.0146672 	
4096 	0.0194682 	0.0020162 	0.0184376 	0.0271823 	
